date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:14	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a38cbca56ea9363b142e5b1333dcf69b%22	http://connect.facebook.net/en_GB/sdk.js	/Users/justice/websites/totalsweet/connect.facebook.net/en_GB/sdk.js	(from https://totalsweet.co.uk/xylitol/)
08:53:15	361/361	---M-Z	200	added ('OK')	application/javascript	etag:%2282bfd941d2c9b3b9e0650a27c9d11737%22	http://assets.pinterest.com/js/pinit.js	/Users/justice/websites/totalsweet/assets.pinterest.com/js/pinit.js	(from https://totalsweet.co.uk/xylitol/)
08:53:16	17277/17277	---M--	200	added ('OK')	image/jpeg	etag:%22437d-5e19283e0a0e5%22	https://totalsweet.co.uk/admin/resources/content/202178total-sweet-test15643-w340.jpg	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/content/202178total-sweet-test15643-w340.jpg	(from https://totalsweet.co.uk/xylitol/)
08:53:17	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:53:17%20GMT	https://totalsweet.co.uk/benefits/sustainability.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/benefits/sustainability.php	(from https://totalsweet.co.uk/xylitol/)
08:53:18	19401/19401	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:18%20GMT	https://totalsweet.co.uk/benefits/sustainability	/Users/justice/websites/totalsweet/totalsweet.co.uk/benefits/sustainability.html	(from https://totalsweet.co.uk/xylitol/)
08:53:20	513876/513876	---M--	200	added ('OK')	image/jpeg	etag:%227d754-5e19286fb5e6b%22	https://totalsweet.co.uk/admin/resources/content/instagram-photo-for-ts.jpg	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/content/instagram-photo-for-ts.jpg	(from https://totalsweet.co.uk/benefits/)
08:53:21	21751/21751	---M--	200	added ('OK')	image/jpeg	etag:%2254f7-5e19296aa9dc8%22	https://totalsweet.co.uk/admin/resources/recipes/adobestock172859452-w320h230.jpeg	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/recipes/adobestock172859452-w320h230.jpg	(from https://totalsweet.co.uk/recipes/)
08:53:21	351267/351267	---M--	200	added ('OK')	image/png	etag:%2255c23-5e19284f150a1%22	https://totalsweet.co.uk/admin/resources/content/screenshot-2022-03-17-at-09.26.25-1-w557.png	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/content/screenshot-2022-03-17-at-09.26.25-1-w557.png	(from https://totalsweet.co.uk/recipes/)
08:53:22	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:53:22%20GMT	https://totalsweet.co.uk/recipes/snacks-treats/keto-macarons.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/snacks-treats/keto-macarons.php	(from https://totalsweet.co.uk/recipes/)
08:53:24	88276/88276	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:24%20GMT	https://totalsweet.co.uk/recipes/snacks-treats/keto-macarons	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/snacks-treats/keto-macarons.html	(from https://totalsweet.co.uk/recipes/)
